tenure,MonthlyCharges,TotalCharges,SeniorCitizen,num_services,charges_per_service,has_family,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,risk_score,intervention
3,49.9,130.1,0,1,24.95,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.51773965,Contract Upgrade
19,79.85,1471.75,1,1,39.925,0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.7819824,Contract Upgrade
33,105.35,3465.05,1,4,21.07,1,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0.6240912,Contract Upgrade
31,83.85,2674.15,0,2,27.95,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.6640207,Contract Upgrade
59,44.3,2666.75,0,2,14.766666666666666,1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.6878555,Contract Upgrade
60,99.0,6017.9,1,3,24.75,1,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0.6626179,Contract Upgrade
1,19.4,19.4,0,0,19.4,1,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0.832787,Contract Upgrade
2,49.95,107.1,1,1,24.975,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.7629291,Contract Upgrade
23,34.65,768.45,1,1,17.325,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.59232247,Contract Upgrade
29,94.2,2607.6,0,3,23.55,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0.6416789,Contract Upgrade
32,78.9,2447.95,0,1,39.45,1,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.7575526,Contract Upgrade
12,94.55,1173.55,0,2,31.516666666666666,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.8920703,Contract Upgrade
24,104.25,2433.9,1,4,20.85,1,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.8613811,Contract Upgrade
7,89.15,574.35,1,2,29.71666666666667,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.74641913,Contract Upgrade
20,90.2,1776.55,0,2,30.066666666666666,1,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.71681654,Contract Upgrade
1,74.5,74.5,0,0,74.5,1,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.9627141,Contract Upgrade
4,76.05,318.9,0,0,76.05,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.80088735,Contract Upgrade
34,100.85,3527.3,0,3,25.2125,1,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,0.5966724,Contract Upgrade
2,30.4,78.65,1,1,15.2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.87428635,Contract Upgrade
25,95.9,2448.75,0,3,23.975,1,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.7536161,Contract Upgrade
1,59.2,59.2,0,2,19.733333333333334,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0.71932125,Contract Upgrade
13,98.15,1230.25,0,3,24.5375,0,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.8304395,Contract Upgrade
5,84.5,453.75,0,2,28.166666666666668,1,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.8435675,Contract Upgrade
5,46.0,221.7,0,0,46.0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.59243244,Contract Upgrade
43,100.55,4304.0,1,4,20.11,1,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,0.60172737,Fiber Bundle Discount
67,101.4,6841.05,1,3,25.35,0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0.65588695,Contract Upgrade
4,55.3,238.5,0,1,27.65,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.6073168,Contract Upgrade
1,73.5,73.5,0,1,36.75,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8059862,Contract Upgrade
2,74.4,139.4,0,1,37.2,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.66206014,Contract Upgrade
1,48.6,48.6,0,1,24.3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.782975,Contract Upgrade
3,29.9,92.25,0,1,14.95,1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.6046102,Contract Upgrade
2,49.2,103.7,0,1,24.6,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5386617,Contract Upgrade
6,85.95,514.6,0,2,28.650000000000002,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.8550015,Contract Upgrade
1,85.55,85.55,0,2,28.516666666666666,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,0.8994678,Contract Upgrade
20,89.95,1648.45,1,2,29.983333333333334,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.72848195,Contract Upgrade
1,88.35,88.35,0,2,29.45,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0.94733834,Contract Upgrade
9,24.95,190.25,0,0,24.95,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.7115944,Contract Upgrade
1,49.9,49.9,0,1,24.95,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.54835075,Contract Upgrade
12,79.55,958.25,0,1,39.775,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0.7861053,Contract Upgrade
12,106.7,1253.9,0,4,21.34,0,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.76212245,Contract Upgrade
30,85.0,2624.25,0,1,42.5,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.7441289,Contract Upgrade
1,19.9,19.9,0,0,19.9,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0.70055526,Contract Upgrade
30,94.3,2679.7,0,3,23.575,0,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,0.5850772,Contract Upgrade
6,74.1,450.9,1,1,37.05,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.80152774,Contract Upgrade
11,95.15,997.65,1,2,31.71666666666667,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0.9288406,Contract Upgrade
4,90.4,356.65,0,3,22.6,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,0.79139507,Contract Upgrade
3,74.55,233.65,0,1,37.275,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.66794306,Contract Upgrade
1,21.0,21.0,0,0,21.0,1,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,0.6511404,Contract Upgrade
4,76.65,333.6,0,1,38.325,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8070285,Contract Upgrade
34,96.35,3190.25,1,3,24.0875,0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0.7525495,Contract Upgrade
2,70.35,139.25,0,0,70.35,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.75615185,Contract Upgrade
1,50.45,50.45,0,1,25.225,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.8494444,Contract Upgrade
22,88.75,1885.15,0,2,29.583333333333332,1,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0.8274881,Contract Upgrade
2,69.75,144.55,0,0,69.75,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7514368,Contract Upgrade
1,69.55,69.55,0,0,69.55,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.9578264,Contract Upgrade
1,85.0,85.0,1,2,28.333333333333332,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0.9573938,Contract Upgrade
17,100.45,1622.45,1,3,25.1125,1,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0.69051576,Contract Upgrade
30,101.3,2974.5,1,3,25.325,1,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0.6206597,Contract Upgrade
10,94.9,1048.85,0,3,23.725,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.909225,Contract Upgrade
2,35.1,68.75,0,1,17.55,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.9089852,Contract Upgrade
11,90.6,1020.2,0,2,30.2,1,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.6140571,Contract Upgrade
7,89.75,608.8,0,3,22.4375,1,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0.67830235,Contract Upgrade
26,98.1,2510.7,1,3,24.525,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0.8825647,Contract Upgrade
41,74.25,3089.1,0,1,37.125,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.7028229,Contract Upgrade
57,55.0,3094.05,1,4,11.0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.62559295,Contract Upgrade
1,20.05,20.05,0,0,20.05,1,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0.54540664,Contract Upgrade
6,87.95,522.35,0,2,29.316666666666666,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0.8394329,Contract Upgrade
1,49.25,49.25,1,1,24.625,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0.64916325,Contract Upgrade
9,80.8,713.1,0,1,40.4,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.80422014,Contract Upgrade
15,99.1,1426.4,0,4,19.82,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0.8623569,Contract Upgrade
25,105.5,2686.05,0,5,17.583333333333332,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.6539663,Contract Upgrade
1,45.85,45.85,0,0,45.85,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.8056275,Contract Upgrade
26,98.35,2515.3,0,3,24.5875,0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0.9092027,Contract Upgrade
1,20.2,20.2,0,0,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,0.6124357,Contract Upgrade
15,89.85,1424.95,1,2,29.95,0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.7557845,Contract Upgrade
2,74.9,147.15,0,0,74.9,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.88562614,Contract Upgrade
31,91.15,2995.45,0,2,30.383333333333336,1,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.6718548,Contract Upgrade
1,20.05,20.05,0,0,20.05,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0.5718537,Contract Upgrade
2,79.6,195.05,1,1,39.8,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.8941121,Contract Upgrade
13,48.75,633.4,0,3,12.1875,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0.61548865,Contract Upgrade
